suite,dimension,function,comparator,test_level,n_pairs,statistic,p_raw,p_bh,outcome,availability
cec2017,100,27,gsk,per_function_runlevel,51,1.140000e+02,2.732697e-07,5.283215e-07,win,ok
cec2017,100,27,agsk,per_function_runlevel,51,6.480000e+02,8.918882e-01,9.237414e-01,tie,ok
cec2017,100,27,apgsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,8.124482e-10,win,ok
cec2017,100,27,fdb-agsk,per_function_runlevel,51,6.100000e+02,6.226437e-01,6.226437e-01,tie,ok
cec2017,100,27,atmals-gsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.580776e-09,win,ok
cec2017,100,27,egsk,per_function_runlevel,51,1.800000e+01,1.535364e-09,3.425043e-09,win,ok
cec2017,100,28,gsk,per_function_runlevel,51,3.630000e+02,4.995164e-03,6.584535e-03,loss,ok
cec2017,100,28,agsk,per_function_runlevel,51,5.120000e+02,1.583312e-01,1.700594e-01,tie,ok
cec2017,100,28,apgsk,per_function_runlevel,51,5.810000e+02,4.449043e-01,4.449043e-01,tie,ok
cec2017,100,28,fdb-agsk,per_function_runlevel,51,5.650000e+02,3.607625e-01,3.874857e-01,tie,ok
cec2017,100,28,atmals-gsk,per_function_runlevel,51,3.140000e+02,1.088390e-03,1.434696e-03,loss,ok
cec2017,100,28,egsk,per_function_runlevel,51,9.000000e+00,9.071719e-10,2.391635e-09,loss,ok
cec2017,100,29,gsk,per_function_runlevel,51,1.100000e+01,1.020312e-09,2.276080e-09,loss,ok
cec2017,100,29,agsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,9.080304e-10,win,ok
cec2017,100,29,apgsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,8.124482e-10,win,ok
cec2017,100,29,fdb-agsk,per_function_runlevel,51,1.000000e+00,5.649717e-10,9.102322e-10,win,ok
cec2017,100,29,atmals-gsk,per_function_runlevel,51,2.480000e+02,1.022425e-04,1.411921e-04,win,ok
cec2017,100,29,egsk,per_function_runlevel,51,1.310000e+02,6.302901e-07,1.015467e-06,loss,ok
cec2017,100,30,gsk,per_function_runlevel,51,3.970000e+02,1.282274e-02,1.616780e-02,loss,ok
cec2017,100,30,agsk,per_function_runlevel,51,1.740000e+02,4.678140e-06,6.460289e-06,win,ok
cec2017,100,30,apgsk,per_function_runlevel,51,1.700000e+01,1.448669e-09,2.100569e-09,win,ok
cec2017,100,30,fdb-agsk,per_function_runlevel,51,2.990000e+02,6.562995e-04,8.651221e-04,win,ok
cec2017,100,30,atmals-gsk,per_function_runlevel,51,1.930000e+02,1.079192e-05,1.647188e-05,loss,ok
cec2017,100,30,egsk,per_function_runlevel,51,3.530000e+02,3.718828e-03,4.688957e-03,win,ok
